Date,Cases
2020-01-01,23
2020-01-02,15
2020-01-03,21
2020-01-04,25
2020-01-05,15
2020-01-06,17
2020-01-07,19
2020-01-08,21
2020-01-09,17
2020-01-10,19
2020-01-11,16
2020-01-12,21
2020-01-13,21
2020-01-14,17
2020-01-15,22
2020-01-16,14
2020-01-17,17
2020-01-18,17
2020-01-19,21
2020-01-20,21
2020-01-21,13
2020-01-22,18
2020-01-23,25
2020-01-24,17
2020-01-25,24
2020-01-26,23
2020-01-27,24
2020-01-28,18
2020-01-29,26
2020-01-30,18
2020-01-31,17
2020-02-01,23
2020-02-02,26
2020-02-03,14
2020-02-04,24
2020-02-05,24
2020-02-06,20
2020-02-07,17
2020-02-08,27
2020-02-09,19
2020-02-10,16
2020-02-11,17
2020-02-12,28
2020-02-13,24
2020-02-14,27
2020-02-15,17
2020-02-16,16
2020-02-17,19
2020-02-18,14
2020-02-19,29
2020-02-20,20
2020-02-21,32
2020-02-22,20
2020-02-23,17
2020-02-24,21
2020-02-25,10
2020-02-26,27
2020-02-27,14
2020-02-28,22
2020-02-29,16
2020-03-01,18
2020-03-02,22
2020-03-03,13
2020-03-04,17
2020-03-05,22
2020-03-06,20
2020-03-07,22
2020-03-08,23
2020-03-09,29
2020-03-10,18
2020-03-11,17
2020-03-12,25
2020-03-13,20
2020-03-14,27
2020-03-15,18
2020-03-16,26
2020-03-17,22
2020-03-18,21
2020-03-19,13
2020-03-20,21
2020-03-21,22
2020-03-22,23
2020-03-23,18
2020-03-24,22
2020-03-25,22
2020-03-26,13
2020-03-27,17
2020-03-28,27
2020-03-29,24
2020-03-30,21
2020-03-31,15
2020-04-01,17
2020-04-02,22
2020-04-03,27
2020-04-04,17
2020-04-05,25
2020-04-06,15
2020-04-07,29
2020-04-08,21
2020-04-09,14
2020-04-10,26
2020-04-11,23
2020-04-12,18
2020-04-13,20
2020-04-14,24
2020-04-15,23
2020-04-16,26
2020-04-17,18
2020-04-18,21
2020-04-19,19
2020-04-20,17
2020-04-21,7
2020-04-22,25
2020-04-23,14
2020-04-24,24
2020-04-25,22
2020-04-26,20
2020-04-27,20
2020-04-28,24
2020-04-29,19
2020-04-30,25
2020-05-01,19
2020-05-02,15
2020-05-03,21
2020-05-04,22
2020-05-05,30
2020-05-06,21
2020-05-07,19
2020-05-08,18
2020-05-09,10
2020-05-10,25
2020-05-11,20
2020-05-12,20
2020-05-13,15
2020-05-14,19
2020-05-15,22
2020-05-16,18
2020-05-17,20
2020-05-18,22
2020-05-19,12
2020-05-20,29
2020-05-21,18
2020-05-22,19
2020-05-23,29
2020-05-24,15
2020-05-25,13
2020-05-26,13
2020-05-27,12
2020-05-28,25
2020-05-29,25
2020-05-30,14
2020-05-31,23
2020-06-01,17
2020-06-02,23
2020-06-03,18
2020-06-04,18
2020-06-05,26
2020-06-06,23
2020-06-07,20
2020-06-08,18
2020-06-09,27
2020-06-10,30
2020-06-11,22
2020-06-12,17
2020-06-13,22
2020-06-14,24
2020-06-15,13
2020-06-16,11
2020-06-17,19
2020-06-18,18
2020-06-19,22
2020-06-20,12
2020-06-21,23
2020-06-22,18
2020-06-23,18
2020-06-24,24
2020-06-25,19
2020-06-26,13
2020-06-27,11
2020-06-28,14
2020-06-29,23
2020-06-30,32
2020-07-01,17
2020-07-02,12
2020-07-03,22
2020-07-04,19
2020-07-05,21
2020-07-06,9
2020-07-07,19
2020-07-08,17
2020-07-09,19
2020-07-10,21
2020-07-11,23
2020-07-12,17
2020-07-13,22
2020-07-14,27
2020-07-15,30
